"종목번호","종목명"
"005930","삼성전자"
"000660","SK하이닉스"
"005935","삼성전자우"
"005380","현대차"
"035420","NAVER"
"015760","한국전력"
"012330","현대모비스"
"028260","삼성물산"
"005490","POSCO"
"055550","신한지주"
"032830","삼성생명"
"105560","KB금융"
"051910","LG화학"
"090430","아모레퍼시픽"
"017670","SK텔레콤"
"034730","SK"
"096770","SK이노베이션"
"051900","LG생활건강"
"000270","기아차"
"033780","KT&G"
"251270","넷마블게임즈"
"066570","LG전자"
"000810","삼성화재"
"086790","하나금융지주"
"002790","아모레G"
"207940","삼성바이오로직스"
"003550","LG"
"011170","롯데케미칼"
"010950","S-Oil"
"068270","셀트리온"
"018260","삼성에스디에스"
"000030","우리은행"
"006400","삼성SDI"
"034220","LG디스플레이"
"009540","현대중공업"
"023530","롯데쇼핑"
"035250","강원랜드"
"030200","KT"
"010130","고려아연"
"021240","코웨이"
"036570","엔씨소프트"
"161390","한국타이어"
"004020","현대제철"
"024110","기업은행"
"035720","카카오"
"139480","이마트"
"047810","한국항공우주"
"006800","미래에셋대우"
"027410","BGF리테일"
"032640","LG유플러스"
"001040","CJ"
"009150","삼성전기"
"078930","GS"
"086280","현대글로비스"
"088350","한화생명"
"000720","현대건설"
"009240","한샘"
"004800","효성"
"018880","한온시스템"
"029780","삼성카드"
"005830","동부화재"
"097950","CJ제일제당"
"267250","현대로보틱스"
"009830","한화케미칼"
"036460","한국가스공사"
"010140","삼성중공업"
"008930","한미사이언스"
"001800","오리온"
"007070","GS리테일"
"128940","한미약품"
"000120","CJ대한통운"
"005940","NH투자증권"
"241560","두산밥캣"
"005387","현대차2우B"
"012750","에스원"
"002380","KCC"
"012630","현대산업"
"016360","삼성증권"
"001450","현대해상"
"047040","대우건설"
"138930","BNK금융지주"
"130960","CJ E&M"
"000880","한화"
"011070","LG이노텍"
"026960","동서"
"004990","롯데제과"
"003490","대한항공"
"071050","한국금융지주"
"086900","메디톡스"
"042660","대우조선해양"
"047050","포스코대우"
"088980","맥쿼리인프라"
"000100","유한양행"
"000210","대림산업"
"028670","팬오션"
"012450","한화테크윈"
"007310","오뚜기"
"008560","메리츠종금증권"
"034020","두산중공업"
"069960","현대백화점"
"079440","아이엔지생명"
"051600","한전KPS"
"005385","현대차우"
"028050","삼성엔지니어링"
"204320","만도"
"011780","금호석유"
"016170","로엔"
"090435","아모레퍼시픽우"
"008770","호텔신라"
"030000","제일기획"
"004170","신세계"
"006260","LS"
"005300","롯데칠성"
"006360","GS건설"
"139130","DGB금융지주"
"006280","녹십자"
"000150","두산"
"000060","메리츠화재"
"041960","코미팜"
"002550","KB손해보험"
"004370","농심"
"138040","메리츠금융지주"
"010060","OCI"
"042670","두산인프라코어"
"000240","한국타이어월드와이드"
"036490","SK머티리얼즈"
"005610","SPC삼립"
"010620","현대미포조선"
"064350","현대로템"
"001740","SK네트웍스"
"011210","현대위아"
"161890","한국콜마"
"039490","키움증권"
"120110","코오롱인더"
"079550","LIG넥스원"
"000670","영풍"
"003520","영진약품"
"079160","CJ CGV"
"011200","현대상선"
"010120","LS산전"
"082640","동양생명"
"017800","현대엘리베이"
"056190","에스에프에이"
"057050","현대홈쇼핑"
"005440","현대그린푸드"
"006120","SK케미칼"
"006650","대한유화"
"078340","컴투스"
"145020","휴젤"
"005250","녹십자홀딩스"
"000080","하이트진로"
"111770","영원무역"
"001440","대한전선"
"084990","바이로메드"
"051915","LG화학우"
"114090","GKL"
"034230","파라다이스"
"003410","쌍용양회"
"010780","아이에스동서"
"028150","GS홈쇼핑"
"071970","STX중공업"
"192400","쿠쿠전자"
"071840","롯데하이마트"
"014820","동원시스템즈"
"003690","코리안리"
"002350","넥센타이어"
"192820","코스맥스"
"073240","금호타이어"
"214320","이노션"
"051905","LG생활건강우"
"180640","한진칼"
"001120","LG상사"
"181710","NHN엔터테인먼트"
"035760","CJ오쇼핑"
"185750","종근당"
"046890","서울반도체"
"240810","원익IPS"
"006040","동원산업"
"103140","풍산"
"039030","이오테크닉스"
"001230","동국제강"
"069620","대웅제약"
"002620","제일약품"
"000070","삼양홀딩스"
"011790","SKC"
"102940","코오롱생명과학"
"022100","포스코 ICT"
"018670","SK가스"
"105630","한세실업"
"108230","톱텍"
"004000","롯데정밀화학"
"069260","휴켐스"
"039130","하나투어"
"003620","쌍용차"
"003240","태광산업"
"049770","동원F&B"
"145990","삼양사"
"267260","현대일렉트릭"
"001430","세아베스틸"
"096530","씨젠"
"192080","더블유게임즈"
"175330","JB금융지주"
"003000","부광약품"
"000990","동부하이텍"
"003300","한일시멘트"
"020560","아시아나항공"
"014680","한솔케미칼"
"036830","솔브레인"
"023590","다우기술"
"108670","LG하우시스"
"002270","롯데푸드"
"000640","동아쏘시오홀딩스"
"012510","더존비즈온"
"052690","한전기술"
"001060","JW중외제약"
"008000","도레이케미칼"
"001680","대상"
"089590","제주항공"
"237690","에스티팜"
"267270","현대건설기계"
"048260","오스템임플란트"
"006840","AK홀딩스"
"081660","휠라코리아"
"226320","잇츠스킨"
"123890","한국자산신탁"
"034830","한국토지신탁"
"071320","지역난방공사"
"003670","포스코켐텍"
"170900","동아에스티"
"020000","한섬"
"053210","스카이라이프"
"085620","미래에셋생명"
"002020","코오롱"
"098460","고영"
"020150","일진머티리얼즈"
"265520","AP시스템"
"025540","한국단자"
"115390","락앤락"
"007570","일양약품"
"003470","유안타증권"
"093050","LF"
"037560","CJ헬로비전"
"003090","대웅"
"069080","웹젠"
"005990","매일유업"
"214370","케어젠"
"095700","제넥신"
"237880","클리오"
"005180","빙그레"
"034310","NICE"
"009970","영원무역홀딩스"
"215600","신라젠"
"093370","후성"
"019680","대교"
"009420","한올바이오파마"
"100120","뷰웍스"
"002240","고려제강"
"068760","셀트리온제약"
"064960","S&T모티브"
"000370","한화손해보험"
"060980","한라홀딩스"
"192530","광주은행"
"085660","차바이오텍"
"033920","무학"
"003920","남양유업"
"058470","리노공업"
